"","State","County","fips","frac_coll_plus2010","foreign_share2010","med_hhinc2016","poor_share2010","share_white2010","share_black2010","share_hisp2010","share_asian2010","gsmn_math_g3_2013","rent_twobed2015","singleparent_share2010","traveltime15_2010","emp2000","ln_wage_growth_hs_grad","popdensity2010","ann_avg_job_growth_2004_2013","job_density_2013","turnout.rate"
"1540","Missouri","Lincoln County",29113,0.11937463,0.013885884,55401.068276072,0.10993532,0.93908614,0.025586881,0.019632462,0.0031985187,2.3757446,739.7124,0.23510247,0.2251434,0.65595472,0.10218308,83.896729,0.0095149819,38.816959,0.678482078140709
"1541","Missouri","Linn County",29115,0.14196992,0.014905995,39335.4306088864,0.14726967,0.9636392,0.012930021,0.015124206,0.0021158217,2.8883541,499.80035,0.21073644,0.51242906,0.58329421,NA,20.730583,-0.031570107,7.8773289,0.626271464508367
"1542","Missouri","Livingston County",29117,0.18692219,0.0020311677,45600.6539651201,0.21052212,0.94675881,0.029680815,0.011911813,0.0023033894,3.8535779,661.27533,0.36347464,0.58106142,0.57872617,NA,28.544376,-9.7148695e-05,12.884889,0.576916510158784
"1543","Missouri","McDonald County",29119,0.089427806,0.056530017,39356.338387558,0.15120101,0.81011999,0.0087077068,0.11207382,0.001496898,3.2202919,592.07953,0.2759493,0.22292535,0.60552293,NA,42.787498,-0.019365717,17.309261,0.581513360739979
"1544","Missouri","Macon County",29121,0.14754142,0.0014645178,37306.4438519851,0.14423488,0.94661444,0.029872799,0.0096363872,0.003212129,3.2094948,598.03931,0.27257934,0.43699449,0.60043347,NA,19.427727,-0.014276762,8.6629744,0.679147165886635
"1545","Missouri","Madison County",29123,0.10663314,0.015453881,37418.432684443,0.19303223,0.96360213,0.0043350239,0.019957468,0.0030011702,3.9405484,638.69171,0.32427183,0.42508239,0.52497196,0.18746422,24.729465,-0.0093032084,10.394629,0.608816904429905
"1546","Missouri","Maries County",29125,0.14255157,0.010899834,40989.218722755,0.14250347,0.97122931,0.0044681779,0.0081734965,0.00054489973,2.8645492,526.48401,0.33006629,0.23126467,0.59897095,NA,17.412458,-0.015957242,7.4063673,0.691449275362319
"1547","Missouri","Marion County",29127,0.1679728,0.0042863111,45766.2543344568,0.15869184,0.91039228,0.060456552,0.013585351,0.0046371454,3.4986527,622.42859,0.33741722,0.54926735,0.58923405,0.048891492,65.871864,-0.00086055486,31.483736,0.615143555002535
"1548","Missouri","Mercer County",29129,0.14522757,0.015675021,43000.078996037,0.15713558,0.97305149,0.0036988112,0.0073976223,0.0018494055,2.6475348,575.53369,0.40315932,0.39929682,0.58108413,NA,8.3400173,0.0019673929,3.7700841,0.656699889258029
"1549","Missouri","Miller County",29131,0.11950217,0.01566614,41232.4202359787,0.17188153,0.96015841,0.0065863905,0.013859706,0.0025860677,2.9154713,601.64825,0.30335867,0.32945174,0.6072368,NA,41.762081,-0.015872283,17.705179,0.64513103735737
"1550","Missouri","Mississippi County",29133,0.10963713,0.018535892,31698.6261317732,0.24895218,0.73276222,0.24376653,0.016088592,0.0016018944,3.2671337,626.08032,0.38107225,0.44419536,0.52054632,0.09491498,34.884823,0.001483244,14.118659,0.456912287443558
